From file: AB332_2021	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
2	2		1005.22	
Ser	Meas	Sal.	Cond.	Temp	F (µg/l)	OpOx %	Opmg/l	Density	S. vel.	Press	Date	Time
2	4	0.000	0.000	9.324	0.14	100.43	11.43	-0.241	1444.56	0.0000	10/5/2021	12:06:30 PM
2	5	0.000	0.000	9.250	0.14	100.71	11.48	-0.236	1444.27	0.0000	10/5/2021	12:06:32 PM
2	6	0.000	0.000	9.238	0.14	101.13	11.53	-0.235	1444.22	0.0000	10/5/2021	12:06:34 PM
2	7	0.000	0.000	9.166	0.14	100.96	11.53	-0.229	1443.93	0.0000	10/5/2021	12:06:36 PM
2	8	0.000	0.000	8.994	0.14	101.71	11.67	-0.216	1443.23	0.0000	10/5/2021	12:06:38 PM
2	9	0.000	0.000	8.810	0.14	102.12	11.76	-0.203	1442.48	0.0000	10/5/2021	12:06:40 PM
2	10	0.000	0.000	8.716	0.14	101.94	11.77	-0.196	1442.09	0.0000	10/5/2021	12:06:42 PM
2	11	0.000	0.000	8.692	0.58	101.40	11.71	-0.194	1441.99	0.0000	10/5/2021	12:06:44 PM
2	12	0.000	0.000	8.671	0.14	101.18	11.70	-0.193	1441.91	0.0000	10/5/2021	12:06:46 PM
2	13	0.000	0.000	8.594	0.14	101.36	11.74	-0.188	1441.59	0.0000	10/5/2021	12:06:48 PM
2	14	0.000	0.000	8.540	0.47	101.67	11.79	-0.184	1441.37	0.0000	10/5/2021	12:06:50 PM
2	15	0.000	0.000	8.486	2.47	101.78	11.82	-0.180	1441.15	0.0000	10/5/2021	12:06:52 PM
2	16	0.000	0.000	8.516	0.14	101.57	11.78	-0.182	1441.27	0.0000	10/5/2021	12:06:54 PM
2	17	0.000	0.000	8.559	0.14	101.58	11.77	-0.185	1441.45	0.0000	10/5/2021	12:06:56 PM
2	18	0.000	0.000	8.585	0.14	101.68	11.78	-0.187	1441.55	0.0000	10/5/2021	12:06:58 PM
2	19	0.000	0.000	8.619	0.14	101.66	11.77	-0.189	1441.69	0.0000	10/5/2021	12:07:00 PM
2	20	0.000	0.000	8.670	0.14	101.75	11.76	-0.193	1441.90	0.0000	10/5/2021	12:07:02 PM
2	21	0.000	0.000	8.666	0.14	101.57	11.74	-0.193	1441.89	0.0000	10/5/2021	12:07:04 PM
2	22	0.000	0.000	8.675	0.14	101.19	11.70	-0.193	1441.92	0.0000	10/5/2021	12:07:06 PM
