From file: AB332_2021	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
3	2		990.05	
Ser	Meas	Sal.	Cond.	Temp	F (µg/l)	OpOx %	Opmg/l	Density	S. vel.	Press	Date	Time
3	738	0.000	0.000	7.376	0.12	96.32	11.32	-0.114	1436.51	0.0000	10/6/2021	7:58:36 AM
3	739	0.000	0.000	7.276	0.12	96.24	11.33	-0.109	1436.09	0.0000	10/6/2021	7:58:38 AM
3	740	0.000	0.000	7.220	0.12	96.74	11.41	-0.106	1435.85	0.0000	10/6/2021	7:58:40 AM
3	741	0.000	0.000	7.208	0.12	96.78	11.42	-0.106	1435.80	0.0000	10/6/2021	7:58:42 AM
3	742	0.000	0.000	7.219	0.11	96.82	11.42	-0.106	1435.85	0.0000	10/6/2021	7:58:44 AM
3	743	0.000	0.000	7.217	0.65	96.73	11.41	-0.106	1435.84	0.0000	10/6/2021	7:58:46 AM
3	744	0.000	0.000	7.197	0.12	97.03	11.45	-0.105	1435.75	0.0000	10/6/2021	7:58:48 AM
3	745	0.000	0.000	7.172	0.12	96.78	11.43	-0.104	1435.65	0.0000	10/6/2021	7:58:50 AM
3	746	0.000	0.000	7.132	0.11	97.11	11.48	-0.102	1435.48	0.0000	10/6/2021	7:58:52 AM
3	747	0.000	0.000	7.092	0.12	97.43	11.53	-0.100	1435.31	0.0000	10/6/2021	7:58:54 AM
3	748	0.000	0.000	7.022	0.11	97.69	11.58	-0.097	1435.01	0.0000	10/6/2021	7:58:56 AM
3	749	0.000	0.000	6.948	0.11	97.56	11.58	-0.093	1434.69	0.0000	10/6/2021	7:58:58 AM
3	750	0.000	0.000	6.932	0.11	97.75	11.61	-0.093	1434.62	0.0000	10/6/2021	7:59:00 AM
3	751	0.000	0.000	6.912	0.11	97.86	11.63	-0.092	1434.54	0.0000	10/6/2021	7:59:02 AM
3	752	0.000	0.000	6.871	0.12	98.01	11.66	-0.090	1434.36	0.0000	10/6/2021	7:59:04 AM
3	753	0.000	0.000	6.834	0.11	97.87	11.65	-0.088	1434.20	0.0000	10/6/2021	7:59:06 AM
3	754	0.000	0.000	6.810	0.11	98.07	11.69	-0.087	1434.10	0.0000	10/6/2021	7:59:08 AM
3	755	0.000	0.000	6.678	0.11	98.37	11.76	-0.082	1433.53	0.0000	10/6/2021	7:59:10 AM
3	756	0.000	0.000	6.543	0.11	98.39	11.80	-0.076	1432.95	0.0000	10/6/2021	7:59:12 AM
3	757	0.000	0.000	6.433	0.11	98.39	11.83	-0.072	1432.47	0.0000	10/6/2021	7:59:14 AM
3	758	0.000	0.000	6.421	0.11	98.50	11.85	-0.071	1432.42	0.0000	10/6/2021	7:59:16 AM
3	759	0.000	0.000	6.388	0.13	101.33	12.20	-0.070	1432.28	0.0000	10/6/2021	7:59:18 AM
3	760	0.000	0.000	6.340	0.15	102.29	12.33	-0.068	1432.07	0.0000	10/6/2021	7:59:20 AM
3	761	33.243	31.550	4.553	0.18	102.57	10.36	26.333	1466.66	0.2800	10/6/2021	7:59:22 AM
3	762	33.604	31.424	4.052	0.15	102.25	10.43	26.673	1465.05	0.6300	10/6/2021	7:59:24 AM
3	763	33.551	31.325	3.989	0.16	102.59	10.48	26.639	1464.72	0.7800	10/6/2021	7:59:26 AM
3	764	33.590	31.346	3.975	0.15	102.66	10.49	26.671	1464.71	0.8100	10/6/2021	7:59:28 AM
3	765	33.524	31.286	3.970	0.19	101.91	10.42	26.619	1464.61	0.8100	10/6/2021	7:59:30 AM
3	766	33.412	31.190	3.969	0.16	101.84	10.42	26.530	1464.46	0.8100	10/6/2021	7:59:32 AM
3	767	33.338	31.122	3.962	0.17	101.64	10.41	26.472	1464.33	0.8600	10/6/2021	7:59:34 AM
3	768	33.519	31.272	3.959	0.16	101.55	10.38	26.616	1464.56	0.8500	10/6/2021	7:59:36 AM
3	769	33.553	31.301	3.959	0.16	101.66	10.39	26.644	1464.60	0.8500	10/6/2021	7:59:38 AM
3	770	33.542	31.285	3.952	0.15	101.55	10.38	26.635	1464.55	0.8200	10/6/2021	7:59:40 AM
3	771	33.505	31.253	3.951	0.16	101.21	10.35	26.606	1464.50	0.8300	10/6/2021	7:59:42 AM
3	772	33.459	31.213	3.949	0.15	101.42	10.38	26.570	1464.44	0.8200	10/6/2021	7:59:44 AM
3	773	33.577	31.305	3.941	0.14	101.11	10.34	26.664	1464.55	0.8300	10/6/2021	7:59:46 AM
3	774	33.570	31.300	3.942	0.15	100.91	10.32	26.658	1464.55	0.8600	10/6/2021	7:59:48 AM
3	775	33.569	31.302	3.945	0.18	100.98	10.33	26.657	1464.56	0.8200	10/6/2021	7:59:50 AM
3	776	33.567	31.300	3.945	0.16	100.87	10.32	26.656	1464.56	0.8700	10/6/2021	7:59:52 AM
