From file: AB332_2021	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
4	2		983.75	
Ser	Meas	Sal.	Cond.	Temp	F (µg/l)	OpOx %	Opmg/l	Density	S. vel.	Press	Date	Time
4	1074	0.000	0.000	4.910	2.49	98.64	12.26	-0.032	1425.76	0.0000	10/6/2021	1:58:19 PM
4	1075	0.000	0.000	4.887	2.49	98.53	12.25	-0.032	1425.66	0.0000	10/6/2021	1:58:21 PM
4	1076	0.000	0.000	4.926	2.10	98.57	12.24	-0.032	1425.83	0.0000	10/6/2021	1:58:23 PM
4	1077	0.000	0.000	4.938	1.96	98.82	12.27	-0.032	1425.88	0.0000	10/6/2021	1:58:25 PM
4	1078	0.000	0.000	4.942	2.49	98.97	12.29	-0.032	1425.90	0.0000	10/6/2021	1:58:27 PM
4	1079	0.000	0.000	4.961	0.91	98.83	12.26	-0.033	1425.99	0.0000	10/6/2021	1:58:29 PM
4	1080	0.000	0.000	4.926	0.34	98.59	12.25	-0.032	1425.83	0.0000	10/6/2021	1:58:31 PM
4	1081	0.000	0.000	4.826	7.49	98.30	12.24	-0.031	1425.38	0.0000	10/6/2021	1:58:33 PM
4	1082	0.000	0.000	4.786	7.49	98.41	12.27	-0.030	1425.20	0.0000	10/6/2021	1:58:35 PM
4	1083	0.000	0.000	4.752	0.13	98.45	12.28	-0.030	1425.05	0.0000	10/6/2021	1:58:37 PM
4	1084	0.000	0.000	4.762	0.13	98.79	12.32	-0.030	1425.09	0.0000	10/6/2021	1:58:39 PM
4	1085	0.000	0.000	4.760	0.13	98.49	12.29	-0.030	1425.08	0.0000	10/6/2021	1:58:41 PM
4	1086	0.000	0.000	4.726	0.04	98.42	12.29	-0.029	1424.93	0.0000	10/6/2021	1:58:43 PM
4	1087	0.000	0.000	4.707	0.04	98.38	12.29	-0.029	1424.84	0.0000	10/6/2021	1:58:45 PM
4	1088	0.000	0.000	4.699	0.04	98.42	12.30	-0.029	1424.81	0.0000	10/6/2021	1:58:47 PM
4	1089	0.000	0.000	4.671	0.04	98.21	12.28	-0.029	1424.68	0.0000	10/6/2021	1:58:49 PM
4	1090	0.000	0.000	4.603	0.04	98.33	12.32	-0.028	1424.38	0.0000	10/6/2021	1:58:51 PM
4	1091	0.000	0.000	4.571	0.04	98.14	12.30	-0.028	1424.23	0.0000	10/6/2021	1:58:53 PM
4	1092	0.000	0.000	4.547	0.04	98.27	12.33	-0.028	1424.12	0.0000	10/6/2021	1:58:55 PM
4	1093	0.000	0.000	4.489	0.04	98.32	12.35	-0.027	1423.86	0.0000	10/6/2021	1:58:57 PM
4	1094	0.000	0.000	4.431	0.04	98.60	12.41	-0.027	1423.60	0.0000	10/6/2021	1:58:59 PM
4	1095	0.000	0.000	4.408	0.04	98.88	12.45	-0.026	1423.49	0.0000	10/6/2021	1:59:01 PM
4	1096	0.000	0.000	4.332	0.04	98.99	12.49	-0.026	1423.15	0.0000	10/6/2021	1:59:03 PM
4	1097	0.000	0.000	4.256	0.04	99.01	12.51	-0.026	1422.80	0.0000	10/6/2021	1:59:05 PM
4	1098	0.000	0.000	4.158	0.04	98.91	12.53	-0.025	1422.35	0.0000	10/6/2021	1:59:07 PM
4	1099	0.000	0.000	3.894	0.04	98.76	12.60	-0.025	1421.14	0.0000	10/6/2021	1:59:09 PM
4	1100	0.000	0.000	3.659	0.04	99.58	12.79	-0.026	1420.06	0.0000	10/6/2021	1:59:11 PM
4	1101	0.000	0.000	3.530	0.04	99.80	12.86	-0.027	1419.46	0.0000	10/6/2021	1:59:13 PM
4	1102	0.000	0.000	3.442	0.04	99.66	12.87	-0.027	1419.05	0.0000	10/6/2021	1:59:15 PM
4	1103	0.000	0.000	3.344	0.04	99.40	12.87	-0.028	1418.59	0.0000	10/6/2021	1:59:17 PM
4	1104	0.000	0.000	3.297	0.13	104.07	13.49	-0.028	1418.38	0.1200	10/6/2021	1:59:19 PM
4	1105	33.172	30.431	3.316	0.15	104.06	10.77	26.401	1461.39	0.5300	10/6/2021	1:59:21 PM
4	1106	33.817	30.953	3.302	0.15	103.65	10.68	26.919	1462.18	1.3600	10/6/2021	1:59:23 PM
4	1107	33.824	30.956	3.298	0.15	103.34	10.65	26.931	1462.19	2.6000	10/6/2021	1:59:25 PM
4	1108	33.825	30.952	3.292	0.14	103.42	10.66	26.937	1462.18	3.5900	10/6/2021	1:59:27 PM
4	1109	33.832	30.958	3.292	0.14	103.28	10.64	26.946	1462.20	4.3000	10/6/2021	1:59:29 PM
