From file: IsG_07okt21	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
1	2		986.27	
Ser	Meas	Sal.	Cond.	Temp	F (µg/l)	OpOx %	Opmg/l	Density	S. vel.	Press	Date	Time
1	1	0.000	0.000	4.407	0.14	101.76	12.84	-0.026	1423.49	0.0000	10/7/2021	7:42:10 AM
1	2	0.000	0.000	4.347	0.14	101.81	12.87	-0.026	1423.21	0.0000	10/7/2021	7:42:12 AM
1	3	0.000	0.000	4.370	0.14	101.76	12.86	-0.026	1423.32	0.0000	10/7/2021	7:42:14 AM
1	4	0.000	0.000	4.374	0.14	102.29	12.92	-0.026	1423.34	0.0000	10/7/2021	7:42:16 AM
1	5	0.000	0.000	4.396	0.14	102.13	12.89	-0.026	1423.44	0.0000	10/7/2021	7:42:18 AM
1	6	0.000	0.000	4.425	0.14	102.15	12.89	-0.027	1423.57	0.0000	10/7/2021	7:42:20 AM
1	7	0.000	0.000	4.449	0.14	102.53	12.93	-0.027	1423.68	0.0000	10/7/2021	7:42:22 AM
1	8	0.000	0.000	4.457	0.14	102.80	12.96	-0.027	1423.71	0.0000	10/7/2021	7:42:24 AM
1	9	0.000	0.000	4.465	0.14	103.03	12.98	-0.027	1423.75	0.0000	10/7/2021	7:42:26 AM
1	10	0.000	0.000	4.457	0.14	102.80	12.96	-0.027	1423.71	0.0000	10/7/2021	7:42:28 AM
1	11	0.000	0.000	4.483	0.14	102.49	12.91	-0.027	1423.83	0.0000	10/7/2021	7:42:30 AM
1	12	0.000	0.000	4.493	0.14	103.11	12.99	-0.027	1423.88	0.0000	10/7/2021	7:42:32 AM
1	13	0.000	0.000	4.503	0.14	103.12	12.98	-0.027	1423.92	0.0000	10/7/2021	7:42:34 AM
1	14	0.000	0.000	4.518	0.14	103.17	12.98	-0.027	1423.99	0.0000	10/7/2021	7:42:36 AM
1	15	0.000	0.000	4.530	0.14	103.36	13.00	-0.027	1424.04	0.0000	10/7/2021	7:42:38 AM
1	16	0.000	0.000	4.528	0.14	103.10	12.97	-0.027	1424.04	0.0000	10/7/2021	7:42:40 AM
1	17	0.000	0.000	4.443	0.14	103.81	13.09	-0.027	1423.65	0.0000	10/7/2021	7:42:42 AM
1	18	0.000	0.000	4.336	0.14	103.81	13.13	-0.026	1423.16	0.0000	10/7/2021	7:42:44 AM
1	19	0.000	0.000	4.304	0.14	104.03	13.17	-0.026	1423.02	0.0000	10/7/2021	7:42:46 AM
1	20	0.000	0.000	4.209	0.14	104.02	13.20	-0.025	1422.58	0.0000	10/7/2021	7:42:48 AM
1	21	0.000	0.000	4.056	0.14	104.29	13.28	-0.025	1421.88	0.0000	10/7/2021	7:42:50 AM
1	22	0.000	0.000	3.794	0.14	104.33	13.38	-0.025	1420.68	0.0000	10/7/2021	7:42:52 AM
1	23	0.000	0.000	3.733	0.14	104.52	13.43	-0.026	1420.40	0.0000	10/7/2021	7:42:54 AM
1	24	0.000	0.000	3.414	0.14	104.86	13.59	-0.028	1418.92	0.0000	10/7/2021	7:42:56 AM
1	25	0.000	0.000	3.187	0.14	104.44	13.61	-0.030	1417.86	0.0000	10/7/2021	7:42:58 AM
1	26	0.000	0.000	3.091	0.14	104.68	13.68	-0.031	1417.41	0.0000	10/7/2021	7:43:00 AM
1	27	0.000	0.000	3.052	0.14	105.29	13.77	-0.032	1417.23	0.0000	10/7/2021	7:43:02 AM
1	28	0.000	0.000	3.037	0.14	105.09	13.75	-0.032	1417.16	0.0000	10/7/2021	7:43:04 AM
1	29	0.000	0.000	2.996	0.14	105.19	13.78	-0.033	1416.97	0.0000	10/7/2021	7:43:06 AM
1	30	0.000	0.000	2.939	0.14	105.32	13.82	-0.034	1416.70	0.0000	10/7/2021	7:43:08 AM
1	31	0.000	0.000	2.905	0.14	105.15	13.81	-0.034	1416.54	0.0000	10/7/2021	7:43:10 AM
1	32	0.000	0.000	2.853	0.14	105.05	13.82	-0.035	1416.29	0.0000	10/7/2021	7:43:12 AM
1	33	0.000	0.000	2.736	0.35	106.61	14.07	-0.038	1415.74	0.0000	10/7/2021	7:43:14 AM
1	34	0.000	0.000	2.678	0.11	108.01	14.27	-0.039	1415.47	0.0000	10/7/2021	7:43:16 AM
1	35	0.000	0.000	2.751	0.09	104.95	13.84	-0.037	1415.81	0.0000	10/7/2021	7:43:18 AM
1	36	0.000	0.000	2.338	0.45	103.63	13.82	-0.047	1413.85	0.0000	10/7/2021	7:43:20 AM
1	37	0.334	0.405	3.290	0.08	103.12	13.37	0.241	1418.79	0.0000	10/7/2021	7:43:22 AM
1	38	0.000	0.000	2.654	0.28	102.56	13.56	-0.039	1415.35	0.0000	10/7/2021	7:43:24 AM
1	39	33.560	31.024	3.632	0.27	102.21	10.49	26.677	1463.22	0.0100	10/7/2021	7:43:26 AM
1	40	33.356	31.015	3.820	0.33	102.10	10.45	26.498	1463.75	0.3500	10/7/2021	7:43:28 AM
1	41	0.000	0.000	3.699	0.31	101.97	13.11	-0.025	1420.24	0.1700	10/7/2021	7:43:30 AM
1	42	32.781	30.572	3.868	0.31	101.85	10.45	26.035	1463.21	0.1500	10/7/2021	7:43:32 AM
1	43	0.328	0.404	3.789	0.31	101.67	13.01	0.240	1421.10	0.0900	10/7/2021	7:43:34 AM
1	44	33.358	31.047	3.855	0.32	101.57	10.38	26.497	1463.91	0.4700	10/7/2021	7:43:36 AM
1	45	0.000	0.000	3.784	0.28	101.46	13.02	-0.023	1420.64	0.4900	10/7/2021	7:43:38 AM
1	46	33.335	31.048	3.879	0.28	101.31	10.35	26.477	1463.98	0.5800	10/7/2021	7:43:40 AM
1	47	33.329	31.053	3.890	0.29	101.28	10.35	26.474	1464.03	1.2500	10/7/2021	7:43:42 AM
1	48	33.334	31.057	3.890	0.30	101.10	10.33	26.478	1464.03	1.2800	10/7/2021	7:43:44 AM
1	49	33.335	31.057	3.889	0.30	101.04	10.32	26.481	1464.04	1.7000	10/7/2021	7:43:46 AM
