From file: AB332_all	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
2	2		1002.29	
Ser	Meas	Sal.	Cond.	Temp	F (µg/l)	OpOx %	Opmg/l	Density	S. vel.	Press	Date	Time
2	881	0.000	0.000	5.952	0.14	99.40	12.25	-0.055	1430.38	0.0000	10/7/2021	1:20:38 PM
2	882	0.000	0.000	6.095	0.13	102.02	12.53	-0.060	1431.01	0.0100	10/7/2021	1:20:40 PM
2	883	0.000	0.000	6.241	0.14	103.05	12.61	-0.065	1431.64	0.0100	10/7/2021	1:20:42 PM
2	884	0.000	0.000	6.431	0.13	102.78	12.52	-0.072	1432.47	0.0100	10/7/2021	1:20:44 PM
2	885	0.000	0.000	6.404	0.13	102.63	12.51	-0.071	1432.35	0.0100	10/7/2021	1:20:46 PM
2	886	0.000	0.000	6.298	0.13	102.77	12.56	-0.067	1431.89	0.0000	10/7/2021	1:20:48 PM
2	887	0.000	0.000	6.153	0.31	102.53	12.58	-0.062	1431.26	0.0100	10/7/2021	1:20:50 PM
2	888	0.000	0.000	6.034	0.69	102.34	12.59	-0.058	1430.74	0.0000	10/7/2021	1:20:52 PM
2	889	0.000	0.000	5.966	0.14	102.34	12.61	-0.056	1430.44	0.0100	10/7/2021	1:20:54 PM
2	890	0.000	0.000	5.861	0.13	102.28	12.64	-0.053	1429.98	0.0100	10/7/2021	1:20:56 PM
2	891	0.000	0.000	5.751	0.13	102.29	12.67	-0.050	1429.50	0.0100	10/7/2021	1:20:58 PM
2	892	0.000	0.000	5.604	0.13	103.37	12.86	-0.046	1428.85	0.0100	10/7/2021	1:21:00 PM
2	893	0.000	0.000	4.567	0.14	104.66	13.37	-0.028	1424.21	0.0200	10/7/2021	1:21:02 PM
2	894	0.000	0.000	3.598	0.13	105.56	13.83	-0.026	1419.78	0.0200	10/7/2021	1:21:04 PM
2	895	0.000	0.000	2.940	0.14	105.67	14.09	-0.034	1416.70	0.0100	10/7/2021	1:21:06 PM
2	896	0.000	0.000	2.585	0.14	105.49	14.20	-0.041	1415.03	0.0100	10/7/2021	1:21:08 PM
2	897	0.000	0.000	2.392	0.14	105.83	14.32	-0.046	1414.11	0.0100	10/7/2021	1:21:10 PM
2	898	0.000	0.000	2.219	0.14	105.67	14.37	-0.050	1413.28	0.0100	10/7/2021	1:21:12 PM
2	899	0.000	0.000	2.053	1.00	108.86	14.87	-0.055	1412.49	0.0200	10/7/2021	1:21:14 PM
2	900	33.192	30.544	3.430	0.31	108.89	11.45	26.404	1461.89	0.2500	10/7/2021	1:21:16 PM
2	901	33.105	30.780	3.792	0.32	106.49	11.10	26.305	1463.33	1.2300	10/7/2021	1:21:18 PM
2	902	33.081	30.779	3.814	0.30	104.72	10.91	26.282	1463.38	0.6900	10/7/2021	1:21:20 PM
2	903	33.087	30.784	3.814	0.34	103.38	10.77	26.288	1463.39	1.0100	10/7/2021	1:21:22 PM
2	904	33.086	30.786	3.817	0.31	102.95	10.73	26.287	1463.40	0.9400	10/7/2021	1:21:24 PM
2	905	33.093	30.788	3.813	0.33	102.61	10.69	26.292	1463.40	0.9600	10/7/2021	1:21:26 PM
2	906	33.088	30.785	3.814	0.31	102.41	10.67	26.289	1463.39	0.9700	10/7/2021	1:21:28 PM
2	907	33.098	30.799	3.821	0.34	102.36	10.66	26.296	1463.44	1.1300	10/7/2021	1:21:30 PM
2	908	33.098	30.791	3.812	0.31	101.87	10.61	26.296	1463.40	0.8800	10/7/2021	1:21:32 PM
2	909	33.100	30.799	3.819	0.31	101.86	10.61	26.299	1463.43	1.2800	10/7/2021	1:21:34 PM
2	910	33.101	30.794	3.812	0.33	101.55	10.58	26.298	1463.40	0.7400	10/7/2021	1:21:36 PM
2	911	33.094	30.791	3.815	0.31	101.42	10.57	26.295	1463.41	1.2600	10/7/2021	1:21:38 PM
2	912	33.084	30.776	3.808	0.33	101.28	10.56	26.284	1463.36	0.7400	10/7/2021	1:21:40 PM
2	913	33.096	30.788	3.810	0.35	101.11	10.54	26.295	1463.39	0.8900	10/7/2021	1:21:42 PM
2	914	33.101	30.793	3.811	0.34	101.07	10.53	26.299	1463.40	1.0700	10/7/2021	1:21:44 PM
2	915	33.098	30.791	3.811	0.31	101.04	10.53	26.297	1463.40	1.0300	10/7/2021	1:21:46 PM
2	916	33.096	30.789	3.811	0.30	100.90	10.51	26.295	1463.39	0.8600	10/7/2021	1:21:48 PM
2	917	33.102	30.795	3.812	0.34	100.77	10.50	26.300	1463.40	0.9700	10/7/2021	1:21:50 PM
2	918	33.103	30.799	3.816	0.31	100.85	10.51	26.300	1463.42	1.0300	10/7/2021	1:21:52 PM
2	919	33.101	30.795	3.813	0.31	100.64	10.49	26.298	1463.40	0.7400	10/7/2021	1:21:54 PM
2	920	33.100	30.794	3.813	0.31	100.70	10.49	26.299	1463.41	1.1700	10/7/2021	1:21:56 PM
2	921	33.103	30.791	3.807	0.29	100.49	10.47	26.298	1463.37	0.3100	10/7/2021	1:21:58 PM
2	922	1.098	1.281	3.681	0.27	100.44	13.04	0.859	1421.61	0.0200	10/7/2021	1:22:00 PM
2	923	33.139	30.803	3.785	0.30	100.45	10.47	26.329	1463.33	0.3300	10/7/2021	1:22:02 PM
2	924	32.402	30.168	3.768	0.29	100.44	10.53	25.744	1462.31	0.5000	10/7/2021	1:22:04 PM
2	925	33.121	30.800	3.800	0.29	100.32	10.46	26.313	1463.37	0.3200	10/7/2021	1:22:06 PM
2	926	33.126	30.803	3.798	0.30	100.45	10.47	26.320	1463.38	1.0700	10/7/2021	1:22:08 PM
2	927	33.122	30.803	3.802	0.28	100.35	10.46	26.314	1463.38	0.4000	10/7/2021	1:22:10 PM
2	928	33.119	30.802	3.804	0.30	100.46	10.47	26.313	1463.39	0.9200	10/7/2021	1:22:12 PM
2	929	33.124	30.807	3.805	0.30	100.48	10.47	26.318	1463.40	1.1300	10/7/2021	1:22:14 PM
2	930	33.126	30.812	3.808	0.33	100.66	10.49	26.324	1463.44	2.1400	10/7/2021	1:22:16 PM
2	931	33.128	30.814	3.808	0.32	100.68	10.49	26.329	1463.45	2.8000	10/7/2021	1:22:18 PM
2	932	33.126	30.814	3.809	0.33	100.81	10.50	26.333	1463.47	3.8300	10/7/2021	1:22:20 PM
2	933	33.128	30.816	3.809	0.34	100.83	10.51	26.337	1463.48	4.3300	10/7/2021	1:22:22 PM
2	934	33.127	30.817	3.811	0.32	100.86	10.51	26.339	1463.50	5.1000	10/7/2021	1:22:24 PM
2	935	33.122	30.811	3.809	0.32	100.76	10.50	26.338	1463.49	5.7100	10/7/2021	1:22:26 PM
2	936	33.124	30.813	3.809	0.32	100.86	10.51	26.342	1463.50	6.2100	10/7/2021	1:22:28 PM
2	937	33.121	30.807	3.804	0.32	100.77	10.50	26.344	1463.49	6.8800	10/7/2021	1:22:30 PM
2	938	33.117	30.801	3.801	0.36	100.74	10.50	26.343	1463.48	7.4000	10/7/2021	1:22:32 PM
2	939	33.120	30.804	3.801	0.32	100.68	10.49	26.348	1463.50	7.9800	10/7/2021	1:22:34 PM
2	940	33.116	30.804	3.805	0.31	100.71	10.49	26.347	1463.51	8.4900	10/7/2021	1:22:36 PM
2	941	33.117	30.804	3.804	0.34	100.66	10.49	26.350	1463.52	9.0400	10/7/2021	1:22:38 PM
2	942	33.118	30.808	3.807	0.31	100.61	10.48	26.353	1463.54	9.5800	10/7/2021	1:22:40 PM
2	943	33.123	30.815	3.810	0.31	100.64	10.49	26.360	1463.57	10.1700	10/7/2021	1:22:42 PM
2	944	33.126	30.818	3.810	0.31	100.63	10.48	26.365	1463.59	10.7200	10/7/2021	1:22:44 PM
2	945	33.129	30.821	3.811	0.31	100.55	10.48	26.369	1463.60	11.3400	10/7/2021	1:22:46 PM
2	946	33.124	30.818	3.812	0.30	100.56	10.48	26.368	1463.61	11.8900	10/7/2021	1:22:48 PM
2	947	33.136	30.831	3.815	0.31	100.55	10.47	26.380	1463.65	12.5600	10/7/2021	1:22:50 PM
2	948	33.142	30.837	3.816	0.34	100.42	10.46	26.388	1463.67	13.1100	10/7/2021	1:22:52 PM
2	949	33.155	30.854	3.822	0.32	100.35	10.45	26.401	1463.72	13.7200	10/7/2021	1:22:54 PM
2	950	33.153	30.856	3.826	0.30	100.34	10.45	26.402	1463.75	14.3900	10/7/2021	1:22:56 PM
2	951	33.155	30.859	3.828	0.31	100.34	10.45	26.406	1463.77	15.0800	10/7/2021	1:22:58 PM
2	952	33.159	30.863	3.828	0.35	100.30	10.44	26.412	1463.78	15.6800	10/7/2021	1:23:00 PM
2	953	33.157	30.862	3.829	0.36	100.17	10.43	26.412	1463.79	16.0100	10/7/2021	1:23:02 PM
2	954	33.153	30.860	3.830	0.33	100.25	10.44	26.411	1463.80	16.5400	10/7/2021	1:23:04 PM
2	955	33.157	30.863	3.829	0.33	100.17	10.43	26.418	1463.81	17.1600	10/7/2021	1:23:06 PM
